,AnimalID,Name,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeInDays,Gender,IsDesexed,DayOfWeek,Month,Year,IsWeekend,Hour,TimeOfDay
0,A671945,Hambone,12-02-14 18:22,Return,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White,365,Male,Yes,Wednesday,Feb,14,False,18,Evening
1,A656520,Emily,13-10-13 12:44,Euthanasia,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby,365,Female,Yes,Sunday,Oct,13,True,13,Afternoon
2,A686464,Pearce,31-01-15 12:28,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,730,Male,Yes,Saturday,Jan,15,True,12,Morning
3,A683430,None,11-07-14 19:09,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream,21,Male,No,Friday,Jul,14,False,19,Evening
4,A667013,None,15-11-13 12:52,Transfer,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan,730,Male,Yes,Friday,Nov,13,False,13,Afternoon
5,A677334,Elsa,25-04-14 13:04,Transfer,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan,30,Female,No,Friday,Apr,14,False,13,Afternoon
6,A699218,Jimmy,28-03-15 13:11,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,21,Male,No,Saturday,Mar,15,True,13,Afternoon
7,A701489,None,30-04-15 17:02,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,21,Unknown,Unknown,Thursday,Apr,15,False,17,Evening
8,A671784,Lucy,04-02-14 17:17,Adoption,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White,150,Female,Yes,Tuesday,Feb,14,False,17,Evening
9,A677747,None,03-05-14 7:48,Adoption,Dog,Spayed Female,1 year,Cairn Terrier,White,365,Female,Yes,Saturday,May,14,True,8,Morning
10,A668402,None,05-12-13 15:50,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,730,Unknown,Unknown,Thursday,Dec,13,False,16,Afternoon
11,A666320,None,04-11-13 14:48,Adoption,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver,730,Female,Yes,Monday,Nov,13,False,15,Afternoon
12,A684601,Rocket,03-02-16 11:27,Adoption,Dog,Neutered Male,4 years,Pit Bull Mix,Brown,1460,Male,Yes,Wednesday,Feb,16,False,11,Morning
13,A704702,Scooter,08-06-15 16:30,Return,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red,730,Male,Yes,Monday,Jun,15,False,17,Evening
14,A688584,Preston,25-11-15 15:00,Return,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream,365,Male,Yes,Wednesday,Nov,15,False,15,Afternoon
15,A678825,Oliver,12-07-14 12:10,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,90,Male,Yes,Saturday,Jul,14,True,12,Morning
16,A678050,None,03-05-14 16:15,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,21,Male,No,Saturday,May,14,True,16,Afternoon
17,A680028,None,07-06-14 12:54,Transfer,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White,14,Female,No,Saturday,Jun,14,True,13,Afternoon
18,A679010,Chrissy,17-05-14 11:32,Transfer,Cat,Intact Female,2 years,Angora Mix,White,730,Female,No,Saturday,May,14,True,12,Morning
19,A684787,Kuma,30-07-14 17:34,Return,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black,365,Male,Yes,Wednesday,Jul,14,False,18,Evening
20,A670658,Anders,19-01-14 15:03,Transfer,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White,60,Male,No,Sunday,Jan,14,True,15,Afternoon
21,A708812,Munchkin,18-09-15 15:19,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White,365,Female,Yes,Friday,Sep,15,False,15,Afternoon
22,A705262,Jamaica,15-08-15 14:22,Adoption,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White,730,Female,Yes,Saturday,Aug,15,True,14,Afternoon
23,A665781,Quattro,28-10-13 16:32,Adoption,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White,300,Male,Yes,Monday,Oct,13,False,17,Evening
24,A676333,Trigger,09-04-14 17:44,Return,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown,60,Male,Yes,Wednesday,Apr,14,False,18,Evening
25,A712750,Olive,03-10-15 15:44,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby,30,Female,No,Saturday,Oct,15,True,16,Afternoon
26,A718832,Nia,15-01-16 17:31,Adoption,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White,180,Female,Yes,Friday,Jan,16,False,18,Evening
27,A698777,Chloe,25-03-15 18:50,Adoption,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan,1825,Female,Yes,Wednesday,Mar,15,False,19,Evening
28,A715348,Cymbale,21-11-15 13:01,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White,60,Female,Yes,Saturday,Nov,15,True,13,Afternoon
29,A708666,Jax,30-07-15 14:30,Return,Cat,Neutered Male,7 years,Russian Blue Mix,Blue,2555,Male,Yes,Thursday,Jul,15,False,15,Afternoon
30,A718535,None,01-01-16 13:57,Euthanasia,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,1095,Female,Yes,Friday,Jan,16,False,14,Afternoon
31,A707341,Murphy,15-07-15 15:25,Transfer,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White,120,Male,No,Wednesday,Jul,15,False,15,Afternoon
32,A682532,None,03-07-14 17:01,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,60,Female,Yes,Thursday,Jul,14,False,17,Evening
33,A666825,Jesse,08-11-13 13:24,Return,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black,1825,Male,Yes,Friday,Nov,13,False,13,Afternoon
34,A699723,Delgado,11-04-15 16:01,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown,1095,Male,Yes,Saturday,Apr,15,True,16,Afternoon
35,A668626,None,06-12-13 14:55,Euthanasia,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow,1095,Male,No,Friday,Dec,13,False,15,Afternoon
36,A657085,Pony Boy,24-10-13 11:22,Return,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White,1095,Male,Yes,Thursday,Oct,13,False,11,Morning
37,A682413,None,02-07-14 13:37,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White,60,Male,No,Wednesday,Jul,14,False,14,Afternoon
38,A702655,Mica,11-08-15 0:00,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,120,Male,Yes,Tuesday,Aug,15,False,0,Night
39,A707503,None,14-07-15 12:16,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,21,Male,No,Tuesday,Jul,15,False,12,Morning
40,A697199,Pilar,04-04-15 17:26,Adoption,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby,2555,Female,Yes,Saturday,Apr,15,True,17,Evening
41,A705598,None,23-06-15 13:25,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,60,Male,No,Tuesday,Jun,15,False,13,Afternoon
42,A668388,Lucy,09-12-13 15:04,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,60,Female,No,Monday,Dec,13,False,15,Afternoon
43,A671181,None,21-01-14 15:15,Transfer,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White,1460,Male,No,Tuesday,Jan,14,False,15,Afternoon
44,A676766,Ali,28-05-14 15:52,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White,730,Male,Yes,Wednesday,May,14,False,16,Afternoon
45,A686716,Chester,27-08-14 7:50,Return,Dog,Neutered Male,12 years,Beagle,Tricolor,4380,Male,Yes,Wednesday,Aug,14,False,8,Morning
